strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
A,2025-11-17T13:00:00+00:00,2025-11-17T14:00:00+00:00,long,1.15942,1.160227,100000,69.62,0.0696,stop_loss
A,2025-11-18T10:00:00+00:00,2025-11-18T11:00:00+00:00,long,1.158614,1.15942,100000,69.56,0.0696,stop_loss
A,2025-11-18T15:00:00+00:00,2025-11-18T16:00:00+00:00,long,1.15848,1.158212,100000,-23.16,-0.0232,session_filter
A,2025-11-20T09:00:00+00:00,2025-11-20T12:00:00+00:00,long,1.153136,1.151543,100000,-138.18,-0.1382,stop_loss
A,2025-11-20T13:00:00+00:00,2025-11-20T16:00:00+00:00,long,1.153403,1.153669,100000,23.07,0.0231,session_filter
A,2025-11-21T09:00:00+00:00,2025-11-21T10:00:00+00:00,long,1.152871,1.153802,100000,80.77,0.0808,stop_loss
A,2025-11-21T11:00:00+00:00,2025-11-21T12:00:00+00:00,long,1.151013,1.153802,100000,242.3,0.2423,stop_loss
A,2025-11-21T13:00:00+00:00,2025-11-21T14:00:00+00:00,long,1.152472,1.153802,100000,115.38,0.1154,stop_loss
A,2025-11-21T15:00:00+00:00,2025-11-21T16:00:00+00:00,long,1.150616,1.150748,100000,11.51,0.0115,session_filter
A,2025-11-24T10:00:00+00:00,2025-11-24T16:00:00+00:00,long,1.154335,1.152206,100000,-184.36,-0.1844,session_filter
A,2025-11-25T10:00:00+00:00,2025-11-25T14:00:00+00:00,long,1.154201,1.156795,100000,224.73,0.2247,take_profit
A,2025-11-25T15:00:00+00:00,2025-11-25T16:00:00+00:00,long,1.156604,1.155535,100000,-92.44,-0.0924,session_filter
A,2025-11-27T09:00:00+00:00,2025-11-27T10:00:00+00:00,long,1.158078,1.159017,100000,81.14,0.0811,stop_loss
A,2025-11-28T10:00:00+00:00,2025-11-28T11:00:00+00:00,long,1.156203,1.157006,100000,69.42,0.0694,stop_loss
A,2025-11-28T15:00:00+00:00,2025-11-28T16:00:00+00:00,long,1.161036,1.160362,100000,-58.02,-0.058,session_filter
A,2025-12-01T11:00:00+00:00,2025-12-01T16:00:00+00:00,long,1.163061,1.162656,100000,-34.88,-0.0349,session_filter
A,2025-12-05T11:00:00+00:00,2025-12-05T12:00:00+00:00,long,1.164958,1.165637,100000,58.28,0.0583,stop_loss
A,2025-12-05T15:00:00+00:00,2025-12-05T16:00:00+00:00,long,1.165094,1.163873,100000,-104.75,-0.1048,session_filter
A,2025-12-08T14:00:00+00:00,2025-12-08T15:00:00+00:00,long,1.164687,1.16523,100000,46.61,0.0466,stop_loss
A,2025-12-09T15:00:00+00:00,2025-12-09T16:00:00+00:00,long,1.163196,1.164144,100000,81.49,0.0815,session_filter
A,2025-12-11T11:00:00+00:00,2025-12-11T14:00:00+00:00,long,1.171646,1.174524,100000,245.64,0.2456,take_profit
A,2025-12-11T15:00:00+00:00,2025-12-11T16:00:00+00:00,long,1.176055,1.175779,100000,-23.51,-0.0235,session_filter
A,2025-12-12T12:00:00+00:00,2025-12-12T13:00:00+00:00,long,1.172745,1.173434,100000,58.68,0.0587,stop_loss
A,2025-12-15T09:00:00+00:00,2025-12-15T15:00:00+00:00,long,1.174674,1.177154,100000,211.15,0.2112,take_profit
A,2025-12-16T12:00:00+00:00,2025-12-16T16:00:00+00:00,long,1.177995,1.177163,100000,-70.63,-0.0706,session_filter
