strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
B,2025-01-02T10:00:00,2025-01-02T15:30:00,long,445.896582,443.458217,50,-0.27,-0.5468,session_filter
B,2025-01-14T02:15:00,2025-01-14T02:30:00,long,415.820871,416.922759,50,0.13,0.265,session_end
B,2025-01-15T01:15:00,2025-01-15T01:30:00,long,413.57988,414.245388,50,0.08,0.1609,session_end
B,2025-01-18T00:00:00,2025-01-18T00:15:00,long,399.905221,400.207527,50,0.04,0.0756,session_end
B,2025-01-18T00:30:00,2025-01-18T00:45:00,long,400.569745,400.82679,50,0.03,0.0642,session_end
B,2025-01-23T01:30:00,2025-01-23T01:45:00,long,354.830911,355.119931,50,0.04,0.0815,session_end
B,2025-01-26T11:45:00,2025-01-26T15:30:00,long,361.575542,358.207911,50,-0.47,-0.9314,session_filter
B,2025-01-27T02:00:00,2025-01-27T02:15:00,long,355.605675,355.292381,50,-0.04,-0.0881,session_end
